premise,2019,2020,2021,2022,last12
"Bar, Nightclub",7,5,8,3,7
"Commercial, Office Building",5,5,2,3,3
Convenience Store,10,12,19,7,18
"Department, Discount Store",1,0,1,1,2
"Drug Store, Doctors Office, Hospital",1,2,0,0,0
"Field, Woods",1,5,7,5,8
"Highway, Road, Street, Alley",60,118,120,50,112
"Hotel, Motel, ETC",10,3,18,8,16
"Lake, Waterway",2,1,0,0,0
"Other, Unknown",12,7,15,2,7
Park/Playground,4,2,3,1,4
"Parking Lot, Garage",38,77,79,43,77
"Residence, Home (Includes Apartment)",106,137,143,90,165
Restaurant,2,1,3,2,4
"Service, Gas Station",6,7,7,4,8
Shopping Mall,1,0,0,1,1
Speciality Store,2,0,0,0,0
"Church, Synagogue, Temple",0,1,2,0,1
Liquor Store,0,1,0,0,0
School-Elementary/Secondary,0,1,0,1,1
Amusement Park,0,0,1,0,1
"Bank, Savings & Loan",0,0,2,1,2
Gambling Facility/Casino/Race Track,0,0,1,2,3
Industrial Site,0,0,1,0,0
"Jail, Prison",0,0,2,0,0
"Grocery, Supermarket",0,0,0,2,2
