agency_name,county_total,murder,rape,robbery,assault,burglary,larceny,auto_theft,total,population,months,year,county
PALESTINE PD,NA,0,6,5,47,71,332,20,481,18238,12,2018,Anderson
FRANKSTON PD,NA,1,0,0,3,6,11,1,22,1183,12,2018,Anderson
ANDERSON CO SO,NA,0,2,6,46,121,188,41,404,38070,12,2018,Anderson
ANDREWS PD,NA,0,8,1,46,42,137,21,255,13845,12,2018,Andrews
ANDREWS CO SO,NA,0,2,0,15,18,50,12,97,4285,12,2018,Andrews
DIBOLL PD,NA,0,0,1,7,6,35,1,50,5289,12,2018,Angelina
LUFKIN PD,NA,1,20,16,97,260,1067,76,1537,35937,12,2018,Angelina
HUNTINGTON PD,NA,0,1,0,1,13,23,7,45,2127,12,2018,Angelina
HUDSON PD (NR),NA,0,0,0,13,42,19,0,74,4910,12,2018,Angelina
ANGELINA CO SO,NA,0,24,3,69,152,274,66,588,39424,12,2018,Angelina
ANGELINA COLLEGE PD (NR),NA,0,0,0,0,1,2,0,3,0,12,2018,Angelina
FULTON PD (NR),NA,0,0,0,1,15,1,2,19,1642,12,2018,Aransas
ARANSAS PASS PD,NA,2,0,4,42,101,309,33,491,8280,12,2018,Aransas
ROCKPORT PD,NA,0,5,1,16,114,309,20,465,10734,12,2018,Aransas
ARANSAS CO SO,NA,0,18,3,55,94,152,18,340,12683,12,2018,Aransas
ARCHER CITY PD,NA,0,3,0,1,5,6,1,16,1742,6,2018,Archer
ARMSTRONG CO SO,NA,0,4,0,3,6,9,2,24,1871,12,2018,Armstrong
PLEASANTON PD,NA,0,9,1,20,70,315,21,436,10627,12,2018,Atascosa
JOURDANTON PD,NA,0,0,0,0,0,2,0,2,4403,12,2018,Atascosa
LYTLE PD,NA,0,2,0,1,4,75,15,97,2992,12,2018,Atascosa
POTEET PD,NA,0,1,0,10,25,65,9,110,3436,12,2018,Atascosa
ATASCOSA CO SO,NA,4,3,8,68,136,317,67,603,28601,12,2018,Atascosa
BELLVILLE PD,NA,0,3,0,10,5,43,5,66,4257,12,2018,Austin
AUSTIN CO SO,NA,0,6,0,8,48,36,16,114,17807,12,2018,Austin
WALLIS PD,NA,0,0,0,5,1,4,0,10,1304,12,2018,Austin
SEALY PD,NA,0,2,3,9,28,55,8,105,6544,12,2018,Austin
SEALY ISD PD,NA,0,0,0,0,0,0,0,0,0,12,2018,Austin
MULESHOE PD,NA,0,1,0,5,7,34,4,51,5073,12,2018,Bailey
BAILEY CO SO,NA,1,0,0,9,8,19,1,38,1974,12,2018,Bailey
BANDERA CO SO,NA,1,24,2,7,108,134,42,318,22557,12,2018,Bandera
ELGIN PD,NA,1,1,4,5,28,91,6,136,9918,12,2018,Bastrop
SMITHVILLE PD,NA,1,3,1,10,18,63,6,102,4322,12,2018,Bastrop
BASTROP CO SO,NA,3,45,15,99,234,348,64,808,63885,12,2018,Bastrop
BASTROP ISD PD,NA,0,0,0,1,0,4,0,5,0,12,2018,Bastrop
BASTROP PD,NA,0,6,8,32,37,328,26,437,9050,12,2018,Bastrop
SEYMOUR PD,NA,0,2,0,5,3,25,2,37,2606,12,2018,Baylor
BAYLOR CO SO,NA,0,0,0,0,2,3,0,5,948,12,2018,Baylor
BEEVILLE PD,NA,1,0,7,32,91,297,2,430,12951,12,2018,Bee
BEE CO SO,NA,1,6,1,23,45,92,17,185,19622,12,2018,Bee
MORGAN'S POINT RESORT PD,NA,0,0,0,0,0,0,0,0,4499,12,2018,Bell
BELL CO SO,NA,2,28,6,47,157,495,31,766,59121,12,2018,Bell
TEMPLE PD,NA,13,81,54,104,349,1439,198,2238,75706,12,2018,Bell
SALADO PD,NA,0,1,1,3,5,9,1,20,2308,12,2018,Bell
NOLANVILLE PD,NA,0,6,0,2,17,53,0,78,5380,12,2018,Bell
BELTON PD,NA,1,16,12,15,80,412,19,555,22248,12,2018,Bell
KILLEEN ISD PD,NA,0,0,1,1,1,54,0,57,0,12,2018,Bell
HARKER HEIGHTS PD,NA,2,12,22,27,86,620,43,812,31710,12,2018,Bell
TX A&M UNIV: CENTRAL TEXAS PD (NR),NA,0,0,0,0,0,5,0,5,0,12,2018,Bell
KILLEEN PD,NA,7,117,146,307,854,2233,249,3913,148007,12,2018,Bell
TROY PD (NR),NA,0,0,2,4,4,29,2,41,2030,12,2018,Bell
CENTRAL TEXAS COLLEGE PD,NA,0,0,0,1,0,8,0,9,0,12,2018,Bell
BALCONES HEIGHTS PD,NA,0,0,10,17,18,300,24,369,3361,12,2018,Bexar
BEXAR CO SO,NA,10,166,79,372,975,3770,421,5793,300332,12,2018,Bexar
KIRBY PD,NA,0,2,9,18,49,112,35,225,8807,12,2018,Bexar
SELMA PD,NA,0,8,5,11,33,178,29,264,11742,12,2018,Bexar
ALAMO COMM COLLEGE DIST PD,NA,0,1,0,7,4,100,7,119,0,12,2018,Bexar
TERRELL HILLS PD,NA,0,1,0,3,15,28,0,47,5473,12,2018,Bexar
HOLLYWOOD PARK PD,NA,0,1,1,0,5,63,5,75,3400,12,2018,Bexar
EAST CENTRAL ISD PD (NR),NA,0,0,0,31,2,7,0,40,0,12,2018,Bexar
UNIV OF TX: HSC - SAN ANTONIO PD,NA,0,0,0,0,1,32,2,35,0,12,2018,Bexar
CASTLE HILLS PD,NA,1,3,6,6,47,240,22,325,4508,12,2018,Bexar
WINDCREST PD,NA,0,1,8,2,19,206,27,263,5936,12,2018,Bexar
SOMERSET PD,NA,0,0,0,2,1,3,2,8,1893,12,2018,Bexar
LEON VALLEY PD,NA,0,2,6,26,55,389,46,524,11598,12,2018,Bexar
OLMOS PARK PD,NA,0,0,0,1,5,17,2,25,2434,12,2018,Bexar
ST MARY'S UNIV PD,NA,0,3,1,4,2,39,3,52,0,12,2018,Bexar
SAN ANTONIO PD,NA,107,1346,1767,6427,9118,46271,6089,71125,1539328,12,2018,Bexar
HELOTES PD,NA,1,2,1,2,17,133,4,160,9456,12,2018,Bexar
LIVE OAK PD,NA,0,10,7,25,38,428,39,547,16230,12,2018,Bexar
CONVERSE PD,NA,2,5,11,162,93,338,53,664,24185,12,2018,Bexar
UNIVERSAL CITY PD,NA,0,15,20,28,120,391,35,609,20825,12,2018,Bexar
TX A&M UNIV: SAN ANTONIO PD,NA,0,1,0,0,0,13,0,14,0,12,2018,Bexar
UNIV OF TX: SAN ANTONIO PD,NA,0,4,1,0,5,87,1,98,0,12,2018,Bexar
JUDSON ISD PD,NA,0,0,0,2,0,62,2,66,0,12,2018,Bexar
ALAMO HEIGHTS PD,NA,0,2,3,6,12,116,3,142,8629,12,2018,Bexar
HILL COUNTRY VILLAGE PD,NA,0,0,0,0,7,24,4,35,1098,12,2018,Bexar
