OBJECTID,USER_RMSOccurrenceDate,USER_RMSOccurrenceHour,USER_Incident,USER_NIBRSClass,USER_NIBRSDescription,USER_District,USER_Beat,USER_Premise,USER_OffenseAddressMiddle,USER_BlockRange,USER_StreetName,USER_StreetType,USER_Suffix,USER_ZIPCode,USER_ORI,DISTRICT_1,SNBNAME,OLC,newdate
4487229,1663200000000,15,124548722,13C,Intimidation,10,10H40,Convenience Store,3149 MAIN,3100-3199,MAIN,ST,,77004,TXHPD0000,K,,76X6GHQ2+V9,2022-09-14
4487231,1662854400000,23,122767122,13B,Simple assault,02,02A10,"Bar, Nightclub",2649 MAIN,2600-2699,MAIN,ST,N,77009,TXHPD0000,,,76X6GGWJ+PW,2022-09-10
4487252,1662163200000,19,118856922,13B,Simple assault,12,12D70,"Parking Lot, Garage",549 BAYBROOK MALL,500-599,BAYBROOK MALL,,,77546,TXHPD0000,E,CLEAR LAKE,76X6GRVW+4Q,2022-09-02
4487274,1662508800000,00,120329622,13C,Intimidation,12,12D70,"Residence, Home (Includes Apartment)",19149 GLENWEST,19100-19199,GLENWEST,DR,,77546,TXHPD0000,E,CLEAR LAKE,76X6GRVV+XP,2022-09-06
4487288,1662768000000,14,122281822,13C,Intimidation,12,12D60,"Parking Lot, Garage",1349 NASA,1300-1399,"NASA",PKWY,,77058,TXHPD0000,,,76X6GVXX+5V,2022-09-09
4487305,1662508800000,23,120826722,13C,Intimidation,12,12D60,"Residence, Home (Includes Apartment)",849 SILVERPINES,800-899,SILVERPINES,RD,,77062,TXHPD0000,E,CLEAR LAKE,76X6HV3F+JM,2022-09-06
4487313,1662854400000,14,122516622,13A,Aggravated Assault,12,12D70,"Parking Lot, Garage",149 EL DORADO,100-199,EL DORADO,BLVD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HR4X+49,2022-09-10
4487315,1663027200000,22,123697322,13B,Simple assault,12,12D70,"Grocery, Supermarket",149 EL DORADO,100-199,EL DORADO,BLVD,W,77546,TXHPD0000,E,CLEAR LAKE,76X6HR4X+49,2022-09-12
4487318,1662595200000,10,120999922,13C,Intimidation,12,12D70,"Residence, Home (Includes Apartment)",449 BUOY,400-499,BUOY,RD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV45+FC,2022-09-07
4487345,1662249600000,01,118980522,13B,Simple assault,12,12D70,"Residence, Home (Includes Apartment)",15549 ZABOLIO,15500-15599,ZABOLIO,LN,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV53+JP,2022-09-03
4487349,1662163200000,15,118781722,13B,Simple assault,12,12D70,"Residence, Home (Includes Apartment)",449 EL DORADO,400-499,EL DORADO,BLVD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV54+M2,2022-09-02
4487357,1662940800000,15,123013722,13B,Simple assault,12,12D70,"Parking Lot, Garage",15949 GALVESTON,15900-15999,GALVESTON,RD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV56+PP,2022-09-11
4487363,1662508800000,16,120663222,13A,Aggravated Assault,12,12D70,"Residence, Home (Includes Apartment)",15849 GALVESTON,15800-15899,GALVESTON,RD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV66+49,2022-09-06
4487365,1662681600000,18,121715622,13A,Aggravated Assault,12,12D60,"Highway, Road, Street, Alley",1049 SEAFOAM,1000-1099,SEAFOAM,RD,,77062,TXHPD0000,E,CLEAR LAKE,76X6HV5G+X9,2022-09-08
4487366,1663027200000,01,123243722,13B,Simple assault,12,12D60,"Residence, Home (Includes Apartment)",16349 EL CAMINO REAL,16300-16399,EL CAMINO REAL,,,77062,TXHPD0000,E,CLEAR LAKE,76X6HV6F+2X,2022-09-12
