OBJECTID,USER_RMSOccurrenceDate,USER_RMSOccurrenceHour,USER_Incident,USER_NIBRSClass,USER_NIBRSDescription,USER_District,USER_Beat,USER_Premise,USER_OffenseAddressMiddle,USER_BlockRange,USER_StreetName,USER_StreetType,USER_Suffix,USER_ZIPCode,USER_ORI,DISTRICT_1,SNBNAME,OLC,date
4541212,1663200000000,15,124548722,13C,Intimidation,10,10H40,Convenience Store,3149 MAIN,3100-3199,MAIN,ST,,77004,TXHPD0000,K,,76X6GHQ2+V9,2022-09-14
4541216,1662854400000,23,122767122,13B,Simple assault,02,02A10,"Bar, Nightclub",2649 MAIN,2600-2699,MAIN,ST,N,77009,TXHPD0000,,,76X6GGWJ+PW,2022-09-10
4541258,1662508800000,00,120329622,13C,Intimidation,12,12D70,"Residence, Home (Includes Apartment)",19149 GLENWEST,19100-19199,GLENWEST,DR,,77546,TXHPD0000,E,CLEAR LAKE,76X6GRVV+XP,2022-09-06
4541271,1662768000000,14,122281822,13C,Intimidation,12,12D60,"Parking Lot, Garage",1349 NASA,1300-1399,"NASA",PKWY,,77058,TXHPD0000,,,76X6GVXX+5V,2022-09-09
4541273,1663372800000,22,125736622,13A,Aggravated Assault,12,12D60,"Residence, Home (Includes Apartment)",1349 NASA,1300-1399,"NASA",PKWY,,77058,TXHPD0000,,,76X6GVXX+5V,2022-09-16
4541289,1662508800000,23,120826722,13C,Intimidation,12,12D60,"Residence, Home (Includes Apartment)",849 SILVERPINES,800-899,SILVERPINES,RD,,77062,TXHPD0000,E,CLEAR LAKE,76X6HV3F+JM,2022-09-06
4541297,1662854400000,14,122516622,13A,Aggravated Assault,12,12D70,"Parking Lot, Garage",149 EL DORADO,100-199,EL DORADO,BLVD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HR4X+49,2022-09-10
4541299,1663027200000,22,123697322,13B,Simple assault,12,12D70,"Grocery, Supermarket",149 EL DORADO,100-199,EL DORADO,BLVD,W,77546,TXHPD0000,E,CLEAR LAKE,76X6HR4X+49,2022-09-12
4541301,1662595200000,10,120999922,13C,Intimidation,12,12D70,"Residence, Home (Includes Apartment)",449 BUOY,400-499,BUOY,RD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV45+FC,2022-09-07
4541328,1663459200000,17,126070622,13B,Simple assault,12,12D70,"Residence, Home (Includes Apartment)",15549 ZABOLIO,15500-15599,ZABOLIO,LN,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV53+JP,2022-09-17
4541341,1662940800000,15,123013722,13B,Simple assault,12,12D70,"Parking Lot, Garage",15949 GALVESTON,15900-15999,GALVESTON,RD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV56+PP,2022-09-11
4541345,1662508800000,16,120663222,13A,Aggravated Assault,12,12D70,"Residence, Home (Includes Apartment)",15849 GALVESTON,15800-15899,GALVESTON,RD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV66+49,2022-09-06
4541347,1662681600000,18,121715622,13A,Aggravated Assault,12,12D60,"Highway, Road, Street, Alley",1049 SEAFOAM,1000-1099,SEAFOAM,RD,,77062,TXHPD0000,E,CLEAR LAKE,76X6HV5G+X9,2022-09-08
4541348,1663027200000,01,123243722,13B,Simple assault,12,12D60,"Residence, Home (Includes Apartment)",16349 EL CAMINO REAL,16300-16399,EL CAMINO REAL,,,77062,TXHPD0000,E,CLEAR LAKE,76X6HV6F+2X,2022-09-12
4541356,1662681600000,01,121563122,13A,Aggravated Assault,12,12D60,"Residence, Home (Includes Apartment)",16249 EL CAMINO REAL,16200-16299,EL CAMINO REAL,,,77062,TXHPD0000,E,CLEAR LAKE,76X6HV6F+FG,2022-09-08
4541357,1663459200000,15,126030622,13B,Simple assault,12,12D60,"Residence, Home (Includes Apartment)",16249 EL CAMINO REAL,16200-16299,EL CAMINO REAL,,,77062,TXHPD0000,E,CLEAR LAKE,76X6HV6F+FG,2022-09-17
4541360,1662940800000,20,123173222,13C,Intimidation,12,12D70,"Residence, Home (Includes Apartment)",549 TRESVANT,500-599,TRESVANT,DR,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV63+WR,2022-09-11
4541366,1662595200000,04,121251922,11A,Forcible rape,16,16E40,"Residence, Home (Includes Apartment)",17349 EDGEHAVEN,17300-17399,EDGEHAVEN,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HFFJ+6P,2022-09-07
4541372,1662768000000,15,122098122,13C,Intimidation,12,12D60,"Residence, Home (Includes Apartment)",1549 BAY AREA,1500-1599,BAY AREA,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HV7P+45,2022-09-09
4541374,1663286400000,01,125417222,13C,Intimidation,12,12D60,"Residence, Home (Includes Apartment)",1549 BAY AREA,1500-1599,BAY AREA,BLVD,,,TXHPD0000,E,CLEAR LAKE,76X6HV7P+45,2022-09-15
4541385,1662595200000,19,121246222,13B,Simple assault,12,12D60,"Residence, Home (Includes Apartment)",1649 BAY AREA,1600-1699,BAY AREA,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HV7P+JC,2022-09-07
4541391,1662768000000,16,122121422,13B,Simple assault,12,12D70,"Residence, Home (Includes Apartment)",549 BARRINGER,500-599,BARRINGER,LN,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV83+44,2022-09-09
4541397,1663286400000,23,125353722,13A,Aggravated Assault,12,12D70,"Residence, Home (Includes Apartment)",449 MERRIWEATHER,400-499,MERRIWEATHER,,,77598,TXHPD0000,E,CLEAR LAKE,76X6HR8X+GV,2022-09-15
4541418,1663113600000,19,124161622,13A,Aggravated Assault,16,16E40,"Service, Gas Station",3749 MCHARD,3700-3799,MCHARD,RD,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HFJJ+2W,2022-09-13
4541420,1663200000000,23,124750222,13A,Aggravated Assault,12,12D60,"Residence, Home (Includes Apartment)",15449 PEERMONT,15400-15499,PEERMONT,,,77062,TXHPD0000,E,CLEAR LAKE,76X6HVC6+6J,2022-09-14
4541434,1662595200000,12,121036622,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",16849 RAPIDCREEK,16800-16899,RAPIDCREEK,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGJP+WM,2022-09-07
4541435,1662508800000,19,120746922,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",4649 RIPPLE RIDGE,4600-4699,RIPPLE RIDGE,DR,N,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGMV+4M,2022-09-06
4541437,1663286400000,22,125281522,13B,Simple assault,12,12D60,"Residence, Home (Includes Apartment)",2349 RAMADA,2300-2399,RAMADA,DR,,77062,TXHPD0000,E,CLEAR LAKE,76X6HVFP+88,2022-09-15
4541449,1663027200000,14,123497022,13C,Intimidation,12,12D50,"Residence, Home (Includes Apartment)",349 CYBERONICS,300-399,CYBERONICS,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HVFV+JJ,2022-09-12
4541457,1663200000000,10,124402922,13B,Simple assault,16,16E40,"Parking Lot, Garage",16549 CHIMNEY ROCK,16500-16599,CHIMNEY ROCK,RD,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGP8+3V,2022-09-14
4541459,1663200000000,13,124981622,13A,Aggravated Assault,16,16E40,"Residence, Home (Includes Apartment)",16449 GOLD RIDGE,16400-16499,GOLD RIDGE,LN,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGPJ+6H,2022-09-14
4541460,1662422400000,21,120306122,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",4749 COURT,4700-4799,COURT,RD,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGPV+59,2022-09-05
4541465,1663286400000,10,124930622,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",16349 EDGEMONT,16300-16399,EDGEMONT,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGPM+GQ,2022-09-15
4541470,1662768000000,05,122105022,100,"Kidnapping, Abduction",16,16E40,"Residence, Home (Includes Apartment)",8449 BLUE QUAIL,8400-8499,BLUE QUAIL,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HFQM+8V,2022-09-09
