offense_type,nibrs_class,month,count,rollavg_3month
"Murder, non-negligent",09A,2019-01-01,21,NA
"Murder, non-negligent",09A,2019-02-01,24,NA
"Murder, non-negligent",09A,2019-03-01,22,22
"Murder, non-negligent",09A,2019-04-01,20,22
"Murder, non-negligent",09A,2019-05-01,19,20
"Murder, non-negligent",09A,2019-06-01,27,22
"Murder, non-negligent",09A,2019-07-01,16,21
"Murder, non-negligent",09A,2019-08-01,27,23
"Murder, non-negligent",09A,2019-09-01,23,22
"Murder, non-negligent",09A,2019-10-01,26,25
"Murder, non-negligent",09A,2019-11-01,26,25
"Murder, non-negligent",09A,2019-12-01,29,27
"Murder, non-negligent",09A,2020-01-01,31,29
"Murder, non-negligent",09A,2020-02-01,19,26
"Murder, non-negligent",09A,2020-03-01,27,26
"Murder, non-negligent",09A,2020-04-01,37,28
"Murder, non-negligent",09A,2020-05-01,34,33
"Murder, non-negligent",09A,2020-06-01,25,32
"Murder, non-negligent",09A,2020-07-01,29,29
"Murder, non-negligent",09A,2020-08-01,35,30
"Murder, non-negligent",09A,2020-09-01,39,34
"Murder, non-negligent",09A,2020-10-01,49,41
"Murder, non-negligent",09A,2020-11-01,39,42
"Murder, non-negligent",09A,2020-12-01,36,41
"Murder, non-negligent",09A,2021-01-01,32,36
"Murder, non-negligent",09A,2021-02-01,35,34
"Murder, non-negligent",09A,2021-03-01,35,34
"Murder, non-negligent",09A,2021-04-01,39,36
"Murder, non-negligent",09A,2021-05-01,51,42
"Murder, non-negligent",09A,2021-06-01,44,45
"Murder, non-negligent",09A,2021-07-01,26,40
"Murder, non-negligent",09A,2021-08-01,37,36
"Murder, non-negligent",09A,2021-09-01,45,36
"Murder, non-negligent",09A,2021-10-01,62,48
"Murder, non-negligent",09A,2021-11-01,34,47
"Murder, non-negligent",09A,2021-12-01,25,40
"Murder, non-negligent",09A,2022-01-01,48,36
"Murder, non-negligent",09A,2022-02-01,38,37
"Murder, non-negligent",09A,2022-03-01,25,37
"Murder, non-negligent",09A,2022-04-01,38,34
"Murder, non-negligent",09A,2022-05-01,37,33
"Murder, non-negligent",09A,2022-06-01,50,42
"Murder, non-negligent",09A,2022-07-01,32,40
"Murder, non-negligent",09A,2022-08-01,28,37
"Murder, non-negligent",09A,2022-09-01,31,30
"Murder, non-negligent",09A,2022-10-01,39,33
"Murder, non-negligent",09A,2022-11-01,31,34
"Murder, non-negligent",09A,2022-12-01,32,34
"Murder, non-negligent",09A,2023-01-01,32,32
"Murder, non-negligent",09A,2023-02-01,26,30
"Murder, non-negligent",09A,2023-03-01,23,27
"Murder, non-negligent",09A,2023-04-01,25,25
"Murder, non-negligent",09A,2023-05-01,39,29
"Murder, non-negligent",09A,2023-06-01,26,30
"Murder, non-negligent",09A,2023-07-01,37,34
"Murder, non-negligent",09A,2023-08-01,29,31
"Murder, non-negligent",09A,2023-09-01,30,32
"Murder, non-negligent",09A,2023-10-01,19,26
"Murder, non-negligent",09A,2023-11-01,26,25
"Murder, non-negligent",09A,2024-01-01,18,21
"Murder, non-negligent",09A,2024-02-01,22,22
"Murder, non-negligent",09A,2024-03-01,2,14
