OBJECTID,USER_RMSOccurrenceDate,USER_RMSOccurrenceHour,USER_Incident,USER_NIBRSClass,USER_NIBRSDescription,USER_District,USER_Beat,USER_Premise,USER_OffenseAddressMiddle,USER_BlockRange,USER_StreetName,USER_StreetType,USER_Suffix,USER_ZIPCode,USER_ORI,DISTRICT_1,SNBNAME,OLC,newdate
4523279,1663200000000,15,124548722,13C,Intimidation,10,10H40,Convenience Store,3149 MAIN,3100-3199,MAIN,ST,,77004,TXHPD0000,K,,76X6GHQ2+V9,2022-09-14
4523283,1662854400000,23,122767122,13B,Simple assault,02,02A10,"Bar, Nightclub",2649 MAIN,2600-2699,MAIN,ST,N,77009,TXHPD0000,,,76X6GGWJ+PW,2022-09-10
4523325,1662508800000,00,120329622,13C,Intimidation,12,12D70,"Residence, Home (Includes Apartment)",19149 GLENWEST,19100-19199,GLENWEST,DR,,77546,TXHPD0000,E,CLEAR LAKE,76X6GRVV+XP,2022-09-06
4523336,1662768000000,14,122281822,13C,Intimidation,12,12D60,"Parking Lot, Garage",1349 NASA,1300-1399,"NASA",PKWY,,77058,TXHPD0000,,,76X6GVXX+5V,2022-09-09
4523356,1662508800000,23,120826722,13C,Intimidation,12,12D60,"Residence, Home (Includes Apartment)",849 SILVERPINES,800-899,SILVERPINES,RD,,77062,TXHPD0000,E,CLEAR LAKE,76X6HV3F+JM,2022-09-06
4523360,1662854400000,14,122516622,13A,Aggravated Assault,12,12D70,"Parking Lot, Garage",149 EL DORADO,100-199,EL DORADO,BLVD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HR4X+49,2022-09-10
4523362,1663027200000,22,123697322,13B,Simple assault,12,12D70,"Grocery, Supermarket",149 EL DORADO,100-199,EL DORADO,BLVD,W,77546,TXHPD0000,E,CLEAR LAKE,76X6HR4X+49,2022-09-12
4523371,1662595200000,10,120999922,13C,Intimidation,12,12D70,"Residence, Home (Includes Apartment)",449 BUOY,400-499,BUOY,RD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV45+FC,2022-09-07
4523406,1662940800000,15,123013722,13B,Simple assault,12,12D70,"Parking Lot, Garage",15949 GALVESTON,15900-15999,GALVESTON,RD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV56+PP,2022-09-11
4523413,1662508800000,16,120663222,13A,Aggravated Assault,12,12D70,"Residence, Home (Includes Apartment)",15849 GALVESTON,15800-15899,GALVESTON,RD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV66+49,2022-09-06
4523415,1662681600000,18,121715622,13A,Aggravated Assault,12,12D60,"Highway, Road, Street, Alley",1049 SEAFOAM,1000-1099,SEAFOAM,RD,,77062,TXHPD0000,E,CLEAR LAKE,76X6HV5G+X9,2022-09-08
4523416,1663027200000,01,123243722,13B,Simple assault,12,12D60,"Residence, Home (Includes Apartment)",16349 EL CAMINO REAL,16300-16399,EL CAMINO REAL,,,77062,TXHPD0000,E,CLEAR LAKE,76X6HV6F+2X,2022-09-12
4523423,1662681600000,01,121563122,13A,Aggravated Assault,12,12D60,"Residence, Home (Includes Apartment)",16249 EL CAMINO REAL,16200-16299,EL CAMINO REAL,,,77062,TXHPD0000,E,CLEAR LAKE,76X6HV6F+FG,2022-09-08
4523427,1662940800000,20,123173222,13C,Intimidation,12,12D70,"Residence, Home (Includes Apartment)",549 TRESVANT,500-599,TRESVANT,DR,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV63+WR,2022-09-11
4523433,1662595200000,04,121251922,11A,Forcible rape,16,16E40,"Residence, Home (Includes Apartment)",17349 EDGEHAVEN,17300-17399,EDGEHAVEN,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HFFJ+6P,2022-09-07
4523437,1662768000000,15,122098122,13C,Intimidation,12,12D60,"Residence, Home (Includes Apartment)",1549 BAY AREA,1500-1599,BAY AREA,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HV7P+45,2022-09-09
4523439,1663286400000,01,125417222,13C,Intimidation,12,12D60,"Residence, Home (Includes Apartment)",1549 BAY AREA,1500-1599,BAY AREA,BLVD,,,TXHPD0000,E,CLEAR LAKE,76X6HV7P+45,2022-09-15
4523451,1662336000000,21,119757822,13C,Intimidation,12,12D60,"Residence, Home (Includes Apartment)",1649 BAY AREA,1600-1699,BAY AREA,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HV7P+JC,2022-09-04
4523452,1662595200000,19,121246222,13B,Simple assault,12,12D60,"Residence, Home (Includes Apartment)",1649 BAY AREA,1600-1699,BAY AREA,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HV7P+JC,2022-09-07
4523454,1662768000000,16,122121422,13B,Simple assault,12,12D70,"Residence, Home (Includes Apartment)",549 BARRINGER,500-599,BARRINGER,LN,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV83+44,2022-09-09
4523464,1663286400000,23,125353722,13A,Aggravated Assault,12,12D70,"Residence, Home (Includes Apartment)",449 MERRIWEATHER,400-499,MERRIWEATHER,,,77598,TXHPD0000,E,CLEAR LAKE,76X6HR8X+GV,2022-09-15
4523466,1662336000000,02,119443022,13B,Simple assault,12,12D70,"Residence, Home (Includes Apartment)",649 BARRINGER,600-699,BARRINGER,LN,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV83+HQ,2022-09-04
4523482,1663113600000,19,124161622,13A,Aggravated Assault,16,16E40,"Service, Gas Station",3749 MCHARD,3700-3799,MCHARD,RD,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HFJJ+2W,2022-09-13
4523486,1663200000000,23,124750222,13A,Aggravated Assault,12,12D60,"Residence, Home (Includes Apartment)",15449 PEERMONT,15400-15499,PEERMONT,,,77062,TXHPD0000,E,CLEAR LAKE,76X6HVC6+6J,2022-09-14
4523487,1662336000000,15,123341122,11B,Forcible sodomy,12,12D60,Park/Playground,449 WOODCOMBE,400-499,WOODCOMBE,DR,,77062,TXHPD0000,E,CLEAR LAKE,76X6HVC4+CW,2022-09-04
