beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J50,23,2.12389492,Intercontinental Airport,0,Drug Offenses,23,23,22,6,25,68,22.7,-4.3,8.7,13.6,10,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17359,Drug Offenses,116,133,217,50,220,466,155.3,87.1,89.7,1.4,42,668.2,766.2,1250.1,1267.4,894.6
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27449,Drug Offenses,106,88,72,28,87,266,88.7,-32.1,-17.9,20.8,-2,386.2,320.6,262.3,317,323.1
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26972,Drug Offenses,68,74,50,15,57,192,64,-26.5,-16.2,14,-11,252.1,274.4,185.4,211.3,237.3
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",6765,Drug Offenses,7,8,4,1,3,19,6.3,-42.9,-57.1,-25,-52,103.5,118.3,59.1,44.3,93.1
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26355,Drug Offenses,38,41,45,9,45,124,41.3,18.4,18.4,0,9,144.2,155.6,170.7,170.7,156.7
2A10,2,3.30928608,Irvington and Ryon,18357,Drug Offenses,220,157,124,23,112,501,167,-43.6,-49.1,-9.7,-33,1198.5,855.3,675.5,610.1,909.7
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",10730,Drug Offenses,116,71,71,17,69,258,86,-38.8,-40.5,-2.8,-20,1081.1,661.7,661.7,643.1,801.5
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",30794,Drug Offenses,52,51,38,10,38,141,47,-26.9,-26.9,0,-19,168.9,165.6,123.4,123.4,152.6
2A40,2,1.60546103,Old Sixth Ward and the First Ward,7770,Drug Offenses,39,29,23,9,24,91,30.3,-41,-38.5,4.3,-21,501.9,373.2,296,308.9,390
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",28700,Drug Offenses,63,40,52,12,51,155,51.7,-17.5,-19,-1.9,-1,219.5,139.4,181.2,177.7,180.1
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21326,Drug Offenses,32,28,34,12,39,94,31.3,6.2,21.9,14.7,25,150.1,131.3,159.4,182.9,146.8
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",33931,Drug Offenses,176,196,193,52,188,565,188.3,9.7,6.8,-2.6,-0,518.7,577.6,568.8,554.1,554.9
