category_name,month,count
Sexual Assault,2019-01-01,143
Sexual Assault,2019-02-01,141
Sexual Assault,2019-03-01,162
Sexual Assault,2019-04-01,176
Sexual Assault,2019-05-01,135
Sexual Assault,2019-06-01,155
Sexual Assault,2019-07-01,168
Sexual Assault,2019-08-01,160
Sexual Assault,2019-09-01,155
Sexual Assault,2019-10-01,164
Sexual Assault,2019-11-01,155
Sexual Assault,2019-12-01,129
Sexual Assault,2020-01-01,150
Sexual Assault,2020-02-01,139
Sexual Assault,2020-03-01,153
Sexual Assault,2020-04-01,140
Sexual Assault,2020-05-01,158
Sexual Assault,2020-06-01,172
Sexual Assault,2020-07-01,143
Sexual Assault,2020-08-01,149
Sexual Assault,2020-09-01,140
Sexual Assault,2020-10-01,141
Sexual Assault,2020-11-01,122
Sexual Assault,2020-12-01,106
Sexual Assault,2021-01-01,134
Sexual Assault,2021-02-01,126
Sexual Assault,2021-03-01,190
Sexual Assault,2021-04-01,155
Sexual Assault,2021-05-01,178
Sexual Assault,2021-06-01,161
Sexual Assault,2021-07-01,123
Sexual Assault,2021-08-01,141
Sexual Assault,2021-09-01,132
Sexual Assault,2021-10-01,153
Sexual Assault,2021-11-01,119
Sexual Assault,2021-12-01,103
Sexual Assault,2022-01-01,97
Sexual Assault,2022-02-01,83
