category_name,month,count
Drug Offenses,2019-01-01,986
Drug Offenses,2019-02-01,856
Drug Offenses,2019-03-01,1032
Drug Offenses,2019-04-01,889
Drug Offenses,2019-05-01,885
Drug Offenses,2019-06-01,848
Drug Offenses,2019-07-01,802
Drug Offenses,2019-08-01,842
Drug Offenses,2019-09-01,805
Drug Offenses,2019-10-01,836
Drug Offenses,2019-11-01,742
Drug Offenses,2019-12-01,699
Drug Offenses,2020-01-01,766
Drug Offenses,2020-02-01,717
Drug Offenses,2020-03-01,740
Drug Offenses,2020-04-01,712
Drug Offenses,2020-05-01,1001
Drug Offenses,2020-06-01,574
Drug Offenses,2020-07-01,591
Drug Offenses,2020-08-01,719
Drug Offenses,2020-09-01,700
Drug Offenses,2020-10-01,841
Drug Offenses,2020-11-01,817
Drug Offenses,2020-12-01,786
Drug Offenses,2021-01-01,832
Drug Offenses,2021-02-01,644
Drug Offenses,2021-03-01,922
Drug Offenses,2021-04-01,887
Drug Offenses,2021-05-01,798
Drug Offenses,2021-06-01,807
Drug Offenses,2021-07-01,817
Drug Offenses,2021-08-01,684
Drug Offenses,2021-09-01,730
Drug Offenses,2021-10-01,784
Drug Offenses,2021-11-01,699
Drug Offenses,2021-12-01,752
Drug Offenses,2022-01-01,706
Drug Offenses,2022-02-01,805
